sku_id,Amsterdam,Berlin,Brussels,Copenhagen,Helsinki,Madrid,Paris,Platform,Rome,Stockholm,Webshop
F58Y8I60TY_XXS,7,5,9,20,11,9,4,3,6,12,17
FBE5E6Q4S6_L,35,30,35,65,57,48,30,14,13,81,89
FBE5E6Q4S6_M,48,47,72,96,85,60,57,23,27,113,242
FBE5E6Q4S6_S,21,23,31,43,33,26,24,12,11,43,93
FBE5E6Q4S6_XL,23,13,18,32,32,18,18,10,8,37,87
FBE5E6Q4S6_XS,10,19,17,29,20,24,15,4,7,23,46
FBE5E6Q4S6_XXL,5,10,10,9,10,12,11,5,5,21,37
I8RO5VPQIV_L,28,18,25,37,53,36,22,10,10,40,82
I8RO5VPQIV_M,34,25,38,62,46,30,30,14,15,47,124
I8RO5VPQIV_S,20,8,19,31,38,20,14,6,6,16,90
I8RO5VPQIV_XL,12,11,14,24,17,17,7,3,4,21,37
I8RO5VPQIV_XS,6,12,12,24,15,14,11,5,6,19,48
I8RO5VPQIV_XXL,8,9,15,27,24,13,10,3,4,22,40
J7DERD76U8_onesize,21,49,48,81,120,25,25,18,26,51,85
KBG0WAZV9P_onesize,16,20,42,38,38,26,30,11,14,38,80
KBX5F1FCPW_onesize,27,30,28,44,49,45,34,4,23,57,112
KU65DK7JCX_L,13,6,18,16,28,14,5,3,2,26,30
KU65DK7JCX_M,25,20,30,43,32,21,17,8,11,38,64
KU65DK7JCX_S,35,30,40,41,57,53,38,12,12,90,70
KU65DK7JCX_XL,8,7,10,10,14,11,4,2,5,25,21
KU65DK7JCX_XS,33,38,26,38,37,29,22,14,16,52,84
KU65DK7JCX_XXS,23,20,27,44,29,28,15,6,12,50,49
KX2DPVZSC6_L,37,49,43,85,61,46,27,14,30,61,107
KX2DPVZSC6_M,24,28,43,54,56,32,24,9,20,47,80
KX2DPVZSC6_S,10,16,23,25,20,18,16,3,10,25,49
KX2DPVZSC6_XL,19,25,38,53,56,40,18,7,17,43,109
KX2DPVZSC6_XS,10,7,10,11,14,9,8,3,4,12,35
KX2DPVZSC6_XXL,7,9,10,24,16,11,12,4,7,18,37
LBQKVWQEL3_L,9,9,12,21,15,8,8,2,7,8,26
LBQKVWQEL3_M,12,25,20,28,21,22,13,7,8,33,48
LBQKVWQEL3_S,31,37,48,56,91,50,31,18,19,90,147
LBQKVWQEL3_XL,7,10,15,18,33,18,9,5,7,27,48
LBQKVWQEL3_XS,37,45,53,80,89,46,40,12,16,87,156
LBQKVWQEL3_XXS,22,28,38,48,47,36,25,9,16,41,83
LK5NB8UR9Y_L,42,46,89,110,142,85,62,21,28,113,239
LK5NB8UR9Y_M,64,71,103,162,159,85,62,38,32,157,315
LK5NB8UR9Y_S,44,22,62,102,60,50,34,9,17,61,91
LK5NB8UR9Y_XL,21,21,24,47,71,26,22,13,14,35,72
LK5NB8UR9Y_XS,20,15,27,36,30,14,12,7,9,32,84
LK5NB8UR9Y_XXL,13,11,15,28,41,11,14,9,11,33,54
LLP7L9LQTC_L,19,24,27,51,40,43,28,5,10,42,99
LLP7L9LQTC_M,32,49,34,92,79,37,29,13,13,82,127
LLP7L9LQTC_S,9,14,25,26,27,26,21,5,10,39,68
LLP7L9LQTC_XL,7,13,13,17,21,16,14,3,5,14,34
LLP7L9LQTC_XS,8,10,7,20,17,12,13,4,6,19,40
LLP7L9LQTC_XXL,3,5,7,13,17,6,5,3,4,8,20
LVTGQBBF4L_L,56,73,89,109,132,72,64,33,23,95,200
LVTGQBBF4L_M,62,98,118,165,164,120,88,36,37,142,276
LVTGQBBF4L_S,49,52,48,53,77,52,38,23,19,68,99
LVTGQBBF4L_XL,23,41,36,52,67,36,26,12,11,53,81
LVTGQBBF4L_XS,13,15,27,23,45,30,26,9,4,53,57
LVTGQBBF4L_XXL,13,15,23,41,38,17,14,7,8,40,73
MI29EELZW7_L,0,3,4,5,8,2,0,0,3,3,6
MI29EELZW7_M,4,2,6,9,5,4,5,1,3,5,16
MI29EELZW7_S,6,10,7,21,13,13,11,5,4,17,19
MI29EELZW7_XL,3,2,2,2,5,1,0,0,2,3,4
MI29EELZW7_XS,10,10,13,21,17,22,18,12,4,28,36
MI29EELZW7_XXS,7,3,8,20,5,9,10,5,4,16,26
OK2HOMDWXP_L,6,4,13,13,20,9,7,3,2,9,22
OK2HOMDWXP_M,9,6,18,25,21,20,10,6,6,20,36
OK2HOMDWXP_S,26,17,53,57,46,21,23,10,13,50,64
OK2HOMDWXP_XL,5,4,11,9,13,8,3,2,4,8,14
OK2HOMDWXP_XS,46,26,50,65,69,61,44,18,22,89,114
OK2HOMDWXP_XXS,25,17,37,60,52,26,22,9,15,35,89
PQ8JXR05Z9_L,15,19,21,43,32,18,19,8,12,27,88
PQ8JXR05Z9_M,21,21,38,52,58,25,18,11,14,19,99
PQ8JXR05Z9_S,10,16,14,29,33,19,21,6,9,31,57
PQ8JXR05Z9_XL,6,5,7,19,14,11,9,3,7,12,18
PQ8JXR05Z9_XS,11,11,9,21,14,10,10,5,4,15,44
PQ8JXR05Z9_XXL,6,4,4,15,10,4,9,3,4,10,22
PUZ9FHPM0L_L,32,25,34,58,55,45,39,20,18,52,116
PUZ9FHPM0L_M,17,14,24,17,47,25,23,10,10,31,76
PUZ9FHPM0L_S,11,8,18,15,16,15,7,4,2,20,20
PUZ9FHPM0L_XL,12,9,14,35,31,15,12,5,7,26,55
PUZ9FHPM0L_XS,4,6,6,10,13,6,6,4,3,11,22
PUZ9FHPM0L_XXL,4,4,8,7,8,6,7,2,1,8,22
Q1NB6EV307_L,18,23,40,38,47,21,18,10,7,51,72
Q1NB6EV307_M,8,19,17,36,30,20,23,4,13,23,88
Q1NB6EV307_S,7,15,11,17,20,14,9,3,3,17,36
Q1NB6EV307_XL,12,18,20,23,27,19,16,5,5,31,51
Q1NB6EV307_XS,5,4,5,9,11,8,11,4,5,9,18
Q1NB6EV307_XXL,9,6,9,9,36,11,4,9,2,13,22
QSCW4SWQBC_L,62,77,97,110,141,107,75,34,27,150,237
QSCW4SWQBC_M,67,65,102,110,132,107,78,33,36,147,275
QSCW4SWQBC_S,24,33,83,64,65,49,28,14,20,90,110
QSCW4SWQBC_XL,24,28,50,46,55,50,20,9,11,51,76
QSCW4SWQBC_XS,17,19,40,25,29,45,20,6,9,46,35
QSCW4SWQBC_XXL,10,13,25,18,39,31,16,6,9,24,54
R1GQQ0CSBL_L,29,49,41,66,62,27,17,8,14,86,132
R1GQQ0CSBL_M,17,27,33,40,58,21,27,7,16,38,85
R1GQQ0CSBL_S,15,19,21,25,30,21,22,8,12,35,72
R1GQQ0CSBL_XL,23,11,23,30,36,15,22,6,9,34,48
R1GQQ0CSBL_XS,9,8,12,17,13,2,5,2,4,15,30
R1GQQ0CSBL_XXL,12,11,17,20,22,9,13,4,7,19,37
SUSBYBGRMB_L,25,25,38,73,36,34,27,10,18,61,101
SUSBYBGRMB_M,28,21,33,45,40,26,25,13,16,43,119
SUSBYBGRMB_S,6,15,16,28,11,19,11,3,8,27,31
SUSBYBGRMB_XL,19,23,22,37,37,23,18,9,12,33,109
SUSBYBGRMB_XS,8,5,5,11,7,6,5,4,2,3,28
SUSBYBGRMB_XXL,8,12,7,15,11,9,7,3,2,17,24
TU089AL40Z_L,3,4,8,5,8,6,7,2,4,9,17
TU089AL40Z_M,5,7,13,16,15,9,14,4,5,17,32
TU089AL40Z_S,7,9,12,18,16,10,12,4,4,15,39
TU089AL40Z_XL,2,1,3,3,5,6,2,1,4,5,11
TU089AL40Z_XS,8,6,8,21,10,9,10,3,6,10,31
TU089AL40Z_XXS,5,6,11,14,11,9,12,3,4,14,32
UKDVICMCMI_L,5,4,6,8,8,7,5,3,5,9,16
UKDVICMCMI_M,7,6,11,13,14,10,9,2,5,13,24
UKDVICMCMI_S,11,7,18,21,25,14,10,5,7,22,59
UKDVICMCMI_XL,3,1,2,3,6,4,1,1,1,3,13
UKDVICMCMI_XS,15,9,15,26,20,13,11,7,7,27,54
UKDVICMCMI_XXS,7,5,12,16,18,11,7,1,4,12,28
UXS9I3EAGC_L,5,3,7,6,11,9,5,4,1,10,13
