sku_id,channel_id,forecast_units,shipped_units,overstock_units,shortage_units,unit_cost,capital_cost
LVTGQBBF4L_XS,Webshop,56,57,1,0,14,3.402
LVTGQBBF4L_XXL,Amsterdam,12,13,1,0,14,3.402
LVTGQBBF4L_XXL,Berlin,8,15,7,0,14,23.814
LVTGQBBF4L_XXL,Brussels,14,23,9,0,14,30.618
LVTGQBBF4L_XXL,Copenhagen,30,41,11,0,14,37.422
LVTGQBBF4L_XXL,Helsinki,23,38,15,0,14,51.03
LVTGQBBF4L_XXL,Madrid,13,17,4,0,14,13.608
LVTGQBBF4L_XXL,Paris,12,14,2,0,14,6.804
LVTGQBBF4L_XXL,Platform,7,7,0,0,14,0
LVTGQBBF4L_XXL,Rome,6,8,2,0,14,6.804
LVTGQBBF4L_XXL,Stockholm,23,40,17,0,14,57.834
LVTGQBBF4L_XXL,Webshop,73,73,0,0,14,0
MI29EELZW7_L,Amsterdam,0,0,0,0,54,0
MI29EELZW7_L,Berlin,1,3,2,0,54,26.244
MI29EELZW7_L,Brussels,3,4,1,0,54,13.122
MI29EELZW7_L,Copenhagen,5,5,0,0,54,0
MI29EELZW7_L,Helsinki,4,8,4,0,54,52.488
MI29EELZW7_L,Madrid,2,2,0,0,54,0
MI29EELZW7_L,Paris,0,0,0,0,54,0
MI29EELZW7_L,Platform,0,0,0,0,54,0
MI29EELZW7_L,Rome,1,3,2,0,54,26.244
MI29EELZW7_L,Stockholm,2,3,1,0,54,13.122
MI29EELZW7_L,Webshop,5,6,1,0,54,13.122
MI29EELZW7_M,Amsterdam,4,4,0,0,54,0
MI29EELZW7_M,Berlin,2,2,0,0,54,0
MI29EELZW7_M,Brussels,6,6,0,0,54,0
MI29EELZW7_M,Copenhagen,6,9,3,0,54,39.366
MI29EELZW7_M,Helsinki,5,5,0,0,54,0
MI29EELZW7_M,Madrid,4,4,0,0,54,0
MI29EELZW7_M,Paris,3,5,2,0,54,26.244
MI29EELZW7_M,Platform,1,1,0,0,54,0
MI29EELZW7_M,Rome,2,3,1,0,54,13.122
MI29EELZW7_M,Stockholm,3,5,2,0,54,26.244
MI29EELZW7_M,Webshop,7,16,9,0,54,118.098
MI29EELZW7_S,Amsterdam,6,6,0,0,54,0
MI29EELZW7_S,Berlin,10,10,0,0,54,0
MI29EELZW7_S,Brussels,7,7,0,0,54,0
MI29EELZW7_S,Copenhagen,21,21,0,0,54,0
MI29EELZW7_S,Helsinki,13,13,0,0,54,0
MI29EELZW7_S,Madrid,13,13,0,0,54,0
MI29EELZW7_S,Paris,10,11,1,0,54,13.122
MI29EELZW7_S,Platform,3,5,2,0,54,26.244
MI29EELZW7_S,Rome,3,4,1,0,54,13.122
MI29EELZW7_S,Stockholm,17,17,0,0,54,0
MI29EELZW7_S,Webshop,18,19,1,0,54,13.122
MI29EELZW7_XL,Amsterdam,2,3,1,0,54,13.122
MI29EELZW7_XL,Berlin,0,2,2,0,54,26.244
MI29EELZW7_XL,Brussels,2,2,0,0,54,0
MI29EELZW7_XL,Copenhagen,2,2,0,0,54,0
MI29EELZW7_XL,Helsinki,5,5,0,0,54,0
MI29EELZW7_XL,Madrid,0,1,1,0,54,13.122
MI29EELZW7_XL,Paris,0,0,0,0,54,0
MI29EELZW7_XL,Platform,0,0,0,0,54,0
MI29EELZW7_XL,Rome,1,2,1,0,54,13.122
MI29EELZW7_XL,Stockholm,1,3,2,0,54,26.244
MI29EELZW7_XL,Webshop,2,4,2,0,54,26.244
MI29EELZW7_XS,Amsterdam,8,10,2,0,54,26.244
MI29EELZW7_XS,Berlin,10,10,0,0,54,0
MI29EELZW7_XS,Brussels,9,13,4,0,54,52.488
MI29EELZW7_XS,Copenhagen,21,21,0,0,54,0
MI29EELZW7_XS,Helsinki,17,17,0,0,54,0
MI29EELZW7_XS,Madrid,19,22,3,0,54,39.366
MI29EELZW7_XS,Paris,10,18,8,0,54,104.976
MI29EELZW7_XS,Platform,4,12,8,0,54,104.976
MI29EELZW7_XS,Rome,4,4,0,0,54,0
MI29EELZW7_XS,Stockholm,28,28,0,0,54,0
MI29EELZW7_XS,Webshop,23,36,13,0,54,170.586
MI29EELZW7_XXS,Amsterdam,7,7,0,0,54,0
MI29EELZW7_XXS,Berlin,3,3,0,0,54,0
MI29EELZW7_XXS,Brussels,8,8,0,0,54,0
MI29EELZW7_XXS,Copenhagen,18,20,2,0,54,26.244
MI29EELZW7_XXS,Helsinki,5,5,0,0,54,0
MI29EELZW7_XXS,Madrid,8,9,1,0,54,13.122
MI29EELZW7_XXS,Paris,10,10,0,0,54,0
MI29EELZW7_XXS,Platform,2,5,3,0,54,39.366
MI29EELZW7_XXS,Rome,2,4,2,0,54,26.244
MI29EELZW7_XXS,Stockholm,15,16,1,0,54,13.122
MI29EELZW7_XXS,Webshop,26,26,0,0,54,0
OK2HOMDWXP_L,Amsterdam,6,6,0,0,46,0
OK2HOMDWXP_L,Berlin,4,4,0,0,46,0
OK2HOMDWXP_L,Brussels,10,13,3,0,46,33.534
OK2HOMDWXP_L,Copenhagen,13,13,0,0,46,0
OK2HOMDWXP_L,Helsinki,8,20,12,0,46,134.136
OK2HOMDWXP_L,Madrid,7,9,2,0,46,22.356
OK2HOMDWXP_L,Paris,6,7,1,0,46,11.178
OK2HOMDWXP_L,Platform,3,3,0,0,46,0
OK2HOMDWXP_L,Rome,2,2,0,0,46,0
OK2HOMDWXP_L,Stockholm,9,9,0,0,46,0
OK2HOMDWXP_L,Webshop,20,22,2,0,46,22.356
OK2HOMDWXP_M,Amsterdam,7,9,2,0,46,22.356
OK2HOMDWXP_M,Berlin,6,6,0,0,46,0
OK2HOMDWXP_M,Brussels,17,18,1,0,46,11.178
OK2HOMDWXP_M,Copenhagen,25,25,0,0,46,0
OK2HOMDWXP_M,Helsinki,21,21,0,0,46,0
OK2HOMDWXP_M,Madrid,12,20,8,0,46,89.424
OK2HOMDWXP_M,Paris,9,10,1,0,46,11.178
OK2HOMDWXP_M,Platform,4,6,2,0,46,22.356
OK2HOMDWXP_M,Rome,2,6,4,0,46,44.712
OK2HOMDWXP_M,Stockholm,19,20,1,0,46,11.178
OK2HOMDWXP_M,Webshop,36,36,0,0,46,0
OK2HOMDWXP_S,Amsterdam,25,26,1,0,46,11.178
OK2HOMDWXP_S,Berlin,16,17,1,0,46,11.178
OK2HOMDWXP_S,Brussels,51,53,2,0,46,22.356
OK2HOMDWXP_S,Copenhagen,56,57,1,0,46,11.178
OK2HOMDWXP_S,Helsinki,46,46,0,0,46,0
OK2HOMDWXP_S,Madrid,19,21,2,0,46,22.356
OK2HOMDWXP_S,Paris,22,23,1,0,46,11.178
OK2HOMDWXP_S,Platform,10,10,0,0,46,0
OK2HOMDWXP_S,Rome,11,13,2,0,46,22.356
OK2HOMDWXP_S,Stockholm,48,50,2,0,46,22.356
OK2HOMDWXP_S,Webshop,52,64,12,0,46,134.136
OK2HOMDWXP_XL,Amsterdam,4,5,1,0,46,11.178
OK2HOMDWXP_XL,Berlin,4,4,0,0,46,0
OK2HOMDWXP_XL,Brussels,9,11,2,0,46,22.356
OK2HOMDWXP_XL,Copenhagen,5,9,4,0,46,44.712
OK2HOMDWXP_XL,Helsinki,6,13,7,0,46,78.246
OK2HOMDWXP_XL,Madrid,8,8,0,0,46,0
OK2HOMDWXP_XL,Paris,3,3,0,0,46,0
OK2HOMDWXP_XL,Platform,0,2,2,0,46,22.356
