channel_id,product_id,size,forecast_ensemble,category_group
Madrid,B8OG8GFQDG,XS,14,hoodie women
Madrid,B8OG8GFQDG,XXS,17,hoodie women
Madrid,MI29EELZW7,L,2,hoodie women
Madrid,MI29EELZW7,M,4,hoodie women
Madrid,MI29EELZW7,S,13,hoodie women
Madrid,MI29EELZW7,XL,0,hoodie women
Madrid,MI29EELZW7,XS,19,hoodie women
Madrid,MI29EELZW7,XXS,8,hoodie women
Madrid,TU089AL40Z,L,3,hoodie women
Madrid,TU089AL40Z,M,9,hoodie women
Madrid,TU089AL40Z,S,7,hoodie women
Madrid,TU089AL40Z,XL,1,hoodie women
Madrid,TU089AL40Z,XS,9,hoodie women
Madrid,TU089AL40Z,XXS,5,hoodie women
Madrid,V11O1XZ2MQ,L,2,hoodie women
Madrid,V11O1XZ2MQ,M,5,hoodie women
Madrid,V11O1XZ2MQ,S,10,hoodie women
Madrid,V11O1XZ2MQ,XL,0,hoodie women
Madrid,V11O1XZ2MQ,XS,3,hoodie women
Madrid,V11O1XZ2MQ,XXS,7,hoodie women
Paris,8WVHOXLVJ2,L,4,hoodie women
Paris,8WVHOXLVJ2,M,7,hoodie women
Paris,8WVHOXLVJ2,S,11,hoodie women
Paris,8WVHOXLVJ2,XL,1,hoodie women
Paris,8WVHOXLVJ2,XS,13,hoodie women
Paris,8WVHOXLVJ2,XXS,8,hoodie women
Paris,B8OG8GFQDG,L,2,hoodie women
Paris,B8OG8GFQDG,M,6,hoodie women
Paris,B8OG8GFQDG,S,12,hoodie women
Paris,B8OG8GFQDG,XL,1,hoodie women
Paris,B8OG8GFQDG,XS,15,hoodie women
Paris,B8OG8GFQDG,XXS,9,hoodie women
Paris,MI29EELZW7,L,0,hoodie women
Paris,MI29EELZW7,M,3,hoodie women
Paris,MI29EELZW7,S,10,hoodie women
Paris,MI29EELZW7,XL,0,hoodie women
Paris,MI29EELZW7,XS,10,hoodie women
Paris,MI29EELZW7,XXS,10,hoodie women
Paris,TU089AL40Z,L,3,hoodie women
Paris,TU089AL40Z,M,5,hoodie women
Paris,TU089AL40Z,S,12,hoodie women
Paris,TU089AL40Z,XL,1,hoodie women
Paris,TU089AL40Z,XS,10,hoodie women
Paris,TU089AL40Z,XXS,4,hoodie women
Paris,V11O1XZ2MQ,L,2,hoodie women
Paris,V11O1XZ2MQ,M,2,hoodie women
Paris,V11O1XZ2MQ,S,12,hoodie women
Paris,V11O1XZ2MQ,XL,4,hoodie women
Paris,V11O1XZ2MQ,XS,13,hoodie women
Paris,V11O1XZ2MQ,XXS,4,hoodie women
Platform,8WVHOXLVJ2,L,1,hoodie women
Platform,8WVHOXLVJ2,M,3,hoodie women
Platform,8WVHOXLVJ2,S,2,hoodie women
Platform,8WVHOXLVJ2,XL,0,hoodie women
Platform,8WVHOXLVJ2,XS,4,hoodie women
Platform,8WVHOXLVJ2,XXS,3,hoodie women
Platform,B8OG8GFQDG,L,1,hoodie women
Platform,B8OG8GFQDG,M,1,hoodie women
Platform,B8OG8GFQDG,S,1,hoodie women
Platform,B8OG8GFQDG,XL,0,hoodie women
Platform,B8OG8GFQDG,XS,2,hoodie women
Platform,B8OG8GFQDG,XXS,2,hoodie women
Platform,MI29EELZW7,L,0,hoodie women
Platform,MI29EELZW7,M,1,hoodie women
Platform,MI29EELZW7,S,3,hoodie women
Platform,MI29EELZW7,XL,0,hoodie women
Platform,MI29EELZW7,XS,4,hoodie women
Platform,MI29EELZW7,XXS,2,hoodie women
Platform,TU089AL40Z,L,0,hoodie women
Platform,TU089AL40Z,M,3,hoodie women
Platform,TU089AL40Z,S,4,hoodie women
Platform,TU089AL40Z,XL,1,hoodie women
Platform,TU089AL40Z,XS,3,hoodie women
Platform,TU089AL40Z,XXS,1,hoodie women
Platform,V11O1XZ2MQ,L,1,hoodie women
Platform,V11O1XZ2MQ,M,1,hoodie women
Platform,V11O1XZ2MQ,S,2,hoodie women
Platform,V11O1XZ2MQ,XL,0,hoodie women
Platform,V11O1XZ2MQ,XS,4,hoodie women
Platform,V11O1XZ2MQ,XXS,1,hoodie women
Rome,8WVHOXLVJ2,L,2,hoodie women
Rome,8WVHOXLVJ2,M,3,hoodie women
Rome,8WVHOXLVJ2,S,6,hoodie women
Rome,8WVHOXLVJ2,XL,0,hoodie women
Rome,8WVHOXLVJ2,XS,2,hoodie women
Rome,8WVHOXLVJ2,XXS,4,hoodie women
Rome,B8OG8GFQDG,L,1,hoodie women
Rome,B8OG8GFQDG,M,0,hoodie women
Rome,B8OG8GFQDG,S,3,hoodie women
Rome,B8OG8GFQDG,XL,0,hoodie women
Rome,B8OG8GFQDG,XS,7,hoodie women
Rome,B8OG8GFQDG,XXS,3,hoodie women
Rome,MI29EELZW7,L,1,hoodie women
Rome,MI29EELZW7,M,2,hoodie women
Rome,MI29EELZW7,S,3,hoodie women
Rome,MI29EELZW7,XL,1,hoodie women
Rome,MI29EELZW7,XS,4,hoodie women
Rome,MI29EELZW7,XXS,2,hoodie women
Rome,TU089AL40Z,L,4,hoodie women
Rome,TU089AL40Z,M,5,hoodie women
Rome,TU089AL40Z,S,4,hoodie women
Rome,TU089AL40Z,XL,0,hoodie women
Rome,TU089AL40Z,XS,6,hoodie women
Rome,TU089AL40Z,XXS,1,hoodie women
Rome,V11O1XZ2MQ,L,2,hoodie women
Rome,V11O1XZ2MQ,M,3,hoodie women
Rome,V11O1XZ2MQ,S,4,hoodie women
Rome,V11O1XZ2MQ,XL,1,hoodie women
Rome,V11O1XZ2MQ,XS,2,hoodie women
Rome,V11O1XZ2MQ,XXS,4,hoodie women
Stockholm,8WVHOXLVJ2,L,3,hoodie women
Stockholm,8WVHOXLVJ2,M,7,hoodie women
Stockholm,8WVHOXLVJ2,S,28,hoodie women
Stockholm,8WVHOXLVJ2,XL,2,hoodie women
Stockholm,8WVHOXLVJ2,XS,20,hoodie women
Stockholm,8WVHOXLVJ2,XXS,9,hoodie women
Stockholm,B8OG8GFQDG,L,3,hoodie women
Stockholm,B8OG8GFQDG,M,6,hoodie women
Stockholm,B8OG8GFQDG,S,20,hoodie women
Stockholm,B8OG8GFQDG,XL,2,hoodie women
Stockholm,B8OG8GFQDG,XS,20,hoodie women
Stockholm,B8OG8GFQDG,XXS,15,hoodie women
Stockholm,MI29EELZW7,L,2,hoodie women
Stockholm,MI29EELZW7,M,3,hoodie women
Stockholm,MI29EELZW7,S,17,hoodie women
Stockholm,MI29EELZW7,XL,1,hoodie women
Stockholm,MI29EELZW7,XS,28,hoodie women
Stockholm,MI29EELZW7,XXS,15,hoodie women
Stockholm,TU089AL40Z,L,6,hoodie women
Stockholm,TU089AL40Z,M,9,hoodie women
Stockholm,TU089AL40Z,S,12,hoodie women
Stockholm,TU089AL40Z,XL,4,hoodie women
Stockholm,TU089AL40Z,XS,8,hoodie women
Stockholm,TU089AL40Z,XXS,9,hoodie women
Stockholm,V11O1XZ2MQ,L,4,hoodie women
Stockholm,V11O1XZ2MQ,M,8,hoodie women
Stockholm,V11O1XZ2MQ,S,18,hoodie women
Stockholm,V11O1XZ2MQ,XL,3,hoodie women
Stockholm,V11O1XZ2MQ,XS,17,hoodie women
Stockholm,V11O1XZ2MQ,XXS,6,hoodie women
Webshop,8WVHOXLVJ2,L,4,hoodie women
Webshop,8WVHOXLVJ2,M,18,hoodie women
Webshop,8WVHOXLVJ2,S,30,hoodie women
Webshop,8WVHOXLVJ2,XL,5,hoodie women
Webshop,8WVHOXLVJ2,XS,38,hoodie women
Webshop,8WVHOXLVJ2,XXS,22,hoodie women
Webshop,B8OG8GFQDG,L,7,hoodie women
Webshop,B8OG8GFQDG,M,15,hoodie women
Webshop,B8OG8GFQDG,S,28,hoodie women
Webshop,B8OG8GFQDG,XL,6,hoodie women
Webshop,B8OG8GFQDG,XS,32,hoodie women
Webshop,B8OG8GFQDG,XXS,45,hoodie women
Webshop,MI29EELZW7,L,5,hoodie women
Webshop,MI29EELZW7,M,7,hoodie women
Webshop,MI29EELZW7,S,18,hoodie women
Webshop,MI29EELZW7,XL,2,hoodie women
Webshop,MI29EELZW7,XS,23,hoodie women
Webshop,MI29EELZW7,XXS,26,hoodie women
Webshop,TU089AL40Z,L,14,hoodie women
Webshop,TU089AL40Z,M,24,hoodie women
Webshop,TU089AL40Z,S,38,hoodie women
Webshop,TU089AL40Z,XL,9,hoodie women
Webshop,TU089AL40Z,XS,30,hoodie women
Webshop,TU089AL40Z,XXS,23,hoodie women
Webshop,V11O1XZ2MQ,L,5,hoodie women
Webshop,V11O1XZ2MQ,M,12,hoodie women
Webshop,V11O1XZ2MQ,S,25,hoodie women
Webshop,V11O1XZ2MQ,XL,4,hoodie women
Webshop,V11O1XZ2MQ,XS,25,hoodie women
Webshop,V11O1XZ2MQ,XXS,12,hoodie women
