sku_id,Amsterdam,Berlin,Brussels,Copenhagen,Helsinki,Madrid,Paris,Platform,Rome,Stockholm,Webshop
TU089AL40Z_S,7,9,11,15,16,11,12,4,5,12,38
TU089AL40Z_XL,1,1,1,4,6,1,2,4,0,5,9
TU089AL40Z_XS,4,4,7,17,11,12,10,3,6,13,30
TU089AL40Z_XXS,3,4,7,11,11,6,4,1,2,9,23
UKDVICMCMI_L,5,4,2,8,8,7,6,0,3,5,16
UKDVICMCMI_M,7,3,10,13,10,10,6,1,2,17,22
UKDVICMCMI_S,11,8,18,21,26,11,9,5,7,22,58
UKDVICMCMI_XL,1,2,2,3,6,2,1,1,1,3,8
UKDVICMCMI_XS,13,9,21,26,15,11,10,5,7,27,54
UKDVICMCMI_XXS,7,4,9,12,10,4,6,1,5,15,28
UXS9I3EAGC_L,5,7,6,13,11,8,6,2,2,9,13
UXS9I3EAGC_M,6,10,15,11,18,10,10,2,4,10,38
UXS9I3EAGC_S,17,23,47,33,36,25,31,10,7,50,74
UXS9I3EAGC_XL,3,5,5,7,5,6,5,2,4,3,17
UXS9I3EAGC_XS,24,29,48,57,38,40,27,10,15,40,117
UXS9I3EAGC_XXS,20,10,28,16,24,19,18,4,9,21,55
V11O1XZ2MQ_L,2,1,3,2,8,3,2,1,3,4,6
V11O1XZ2MQ_M,3,3,7,10,8,5,6,2,3,8,12
V11O1XZ2MQ_S,10,7,6,13,27,11,13,2,5,18,25
V11O1XZ2MQ_XL,2,1,4,3,4,0,4,1,2,4,4
V11O1XZ2MQ_XS,6,8,8,12,12,4,13,4,2,17,28
V11O1XZ2MQ_XXS,8,4,4,10,10,7,4,3,4,7,23
WNRA980XXZ_L,1,9,7,16,16,9,8,6,2,19,28
WNRA980XXZ_M,8,14,15,29,24,13,14,10,4,32,41
WNRA980XXZ_S,7,4,11,13,11,7,5,1,5,7,40
WNRA980XXZ_XL,4,3,3,6,9,4,4,3,2,7,13
WNRA980XXZ_XS,1,1,3,3,6,3,3,1,2,4,10
WNRA980XXZ_XXL,1,2,3,3,3,3,2,2,1,2,12
WP8ED8R8U4_L,7,8,16,20,18,13,8,3,5,27,46
WP8ED8R8U4_M,5,10,13,17,25,16,6,3,4,18,35
WP8ED8R8U4_S,2,3,4,5,10,6,3,1,1,9,14
WP8ED8R8U4_XL,8,8,12,12,12,10,6,4,4,28,26
WP8ED8R8U4_XS,2,2,2,4,4,2,2,2,2,4,6
WP8ED8R8U4_XXL,3,2,6,6,4,2,4,0,3,5,8
YPGT13FQ9B_L,7,7,11,19,17,12,9,5,5,18,33
YPGT13FQ9B_M,14,22,23,45,62,30,21,8,9,38,60
YPGT13FQ9B_S,31,25,62,71,82,46,29,21,19,95,105
YPGT13FQ9B_XL,4,6,7,16,14,8,10,3,2,12,23
YPGT13FQ9B_XS,44,37,52,78,89,60,45,20,23,77,134
YPGT13FQ9B_XXS,19,23,29,66,48,28,24,8,15,54,73
ZKLSKKBEKZ_L,7,21,36,30,33,13,12,2,4,23,48
ZKLSKKBEKZ_M,18,11,17,26,24,21,21,6,8,27,63
ZKLSKKBEKZ_S,28,59,41,75,101,52,65,11,11,111,193
ZKLSKKBEKZ_XL,5,12,13,15,19,9,7,3,4,24,39
ZKLSKKBEKZ_XS,35,48,75,104,104,71,67,19,24,156,252
ZKLSKKBEKZ_XXS,21,37,37,74,69,51,32,11,14,79,109
ZOFDKNLVEN_L,25,25,46,74,59,48,36,8,17,53,163
ZOFDKNLVEN_M,32,28,74,100,84,45,46,19,23,71,109
ZOFDKNLVEN_S,10,13,25,43,59,34,31,8,11,34,113
ZOFDKNLVEN_XL,13,15,25,35,42,20,26,5,10,31,50
ZOFDKNLVEN_XS,12,11,17,26,24,12,15,6,7,25,43
ZOFDKNLVEN_XXL,6,5,10,19,16,9,6,3,3,17,25
