restart,iteration,operator,current_cost,restart_best_cost,global_best_cost,temperature,pack_types_current,pack_types_best,shortage_units_best,overstock_units_best,elapsed_seconds
3,2000,split_pack,369476,369018,366224,1839.86,824,819,915,8633,76.0295
3,2250,merge_packs,362633,362633,354411,1623.62,857,857,706,9126,87.2197
3,2500,reallocate,358075,358075,342129,1432.79,900,900,675,8912,98.2237
3,2750,merge_packs,349893,349820,334208,1264.4,939,936,536,8749,109.393
3,3000,split_pack,345697,345697,329164,1115.79,987,987,517,8467,120.872
3,3250,add_curve_pack,346918,344896,317363,984.651,1042,988,508,8462,132.87
3,3500,add_curve_pack,340772,340525,314468,868.924,1067,1059,349,8916,145.268
3,3750,add_curve_pack,338027,338027,310577,766.799,1113,1113,316,8999,157.579
3,4000,mutate_pack_content,334861,334861,309173,676.676,1146,1146,268,8774,170.997
3,4250,remove_pack,330280,330192,308105,597.146,1183,1185,325,8520,184.739
3,4500,split_pack,327001,325739,307746,526.963,1240,1222,366,8255,198.992
3,4750,remove_pack,326427,325739,305324,465.029,1273,1222,366,8255,214.593
3,5000,mutate_pack_content,323056,323056,303979,410.374,1304,1304,232,8374,229.847
3,5250,merge_packs,319502,318796,303121,362.142,1336,1328,245,8156,245.384
3,5500,remove_pack,314273,313966,303121,319.579,1359,1359,217,8448,261.499
3,5750,mutate_pack_content,309304,308557,303121,282.019,1385,1381,196,8433,277.942
3,6000,mutate_pack_content,308561,307665,302259,248.873,1412,1404,178,8369,293.554
3,6250,add_curve_pack,307438,307438,300972,219.623,1446,1446,178,8521,309.453
3,6500,remove_pack,303924,303679,299928,193.81,1489,1486,170,8318,325.882
3,6750,merge_packs,302043,302043,298994,171.032,1524,1524,181,8345,342.878
3,7000,add_curve_pack,302280,301227,296097,150.93,1566,1527,173,8366,360.387
3,7250,merge_packs,300133,300133,294467,133.191,1603,1602,261,8212,378.173
3,7500,merge_packs,297364,297364,291747,117.537,1630,1628,256,8076,396.561
3,7750,add_curve_pack,295279,295279,290097,103.723,1663,1663,233,8129,415.74
3,8000,mutate_pack_content,291060,291060,287645,91.5324,1714,1713,217,7945,434.551
3,8250,mutate_pack_content,289438,289301,285723,80.7745,1729,1731,193,7828,454.038
3,8500,add_curve_pack,288411,287813,284758,71.281,1766,1755,187,7815,473.398
3,8750,merge_packs,286684,286684,284506,62.9033,1797,1792,171,7847,492.885
3,9000,remove_pack,285412,285412,282994,55.5103,1834,1835,173,7672,514.037
3,9250,mutate_pack_content,284645,283942,281236,48.9861,1869,1863,155,7640,535.122
3,9500,split_pack,283131,283131,280088,43.2287,1883,1883,170,7665,556.999
3,9750,merge_packs,281292,281292,279240,38.148,1925,1924,145,7945,579.4
3,10000,add_curve_pack,280777,280739,278120,33.6645,1960,1941,148,7916,600.418
3,10250,mutate_pack_content,280245,280245,277811,29.7079,1996,1993,143,7902,621.359
3,10500,merge_packs,278355,278355,276934,26.2163,2020,2020,135,7886,643.166
3,10750,add_curve_pack,277675,277671,276738,23.1351,2038,2038,137,7900,663.663
3,11000,add_curve_pack,276629,276587,276188,20.416,2079,2076,135,7843,685.684
3,11250,add_curve_pack,273095,273095,273095,18.0165,2103,2099,135,7791,708.347
3,11500,mutate_pack_content,272128,272117,272117,15.899,2115,2115,152,7684,731.925
3,11750,reallocate,271693,271674,271674,14.0304,2153,2153,144,7650,755.881
3,12000,reallocate,270642,270642,270642,12.3814,2184,2178,146,7505,780.752
3,12250,reallocate,267964,267964,267964,10.9262,2223,2220,136,7598,807.429
3,12500,add_curve_pack,267384,267384,267384,9.64202,2260,2257,137,7580,833.795
3,12750,split_pack,266692,266692,266692,8.50878,2288,2288,143,7604,860.14
3,13000,remove_pack,266561,266561,266561,7.50874,2306,2303,132,7634,886.639
4,1,merge_packs,719032,719032,719032,5000,497,497,920,1127,0.301584
4,250,remove_pack,666262,665859,645783,4414.55,535,531,1042,2390,6.99662
4,500,merge_packs,612061,612061,574868,3895.71,575,574,2288,3317,15.231
4,750,mutate_pack_content,573845,571511,502927,3437.84,618,616,2189,3962,24.0263
4,1000,remove_pack,503656,503656,456971,3033.79,671,671,1072,4873,33.7144
4,1250,merge_packs,481019,481019,436186,2677.23,710,710,1139,4871,42.9516
4,1500,mutate_pack_content,461618,461570,404687,2362.57,765,764,957,7208,52.7101
4,1750,mutate_pack_content,454160,454160,387621,2084.9,814,814,911,7353,61.8316
4,2000,add_curve_pack,443598,440881,366902,1839.86,854,845,1032,7203,73.5089
4,2250,merge_packs,425204,425204,360900,1623.62,908,908,944,6942,84.8479
4,2500,remove_pack,405829,405746,344090,1432.79,954,954,766,7121,96.1625
4,2750,mutate_pack_content,396884,396611,334887,1264.4,985,985,849,7064,108.261
