sku_id,Amsterdam,Berlin,Brussels,Copenhagen,Helsinki,Madrid,Paris,Platform,Rome,Stockholm,Webshop
I8RO5VPQIV_S,20,16,20,40,34,21,17,8,9,31,91
I8RO5VPQIV_XL,13,11,12,28,24,17,7,5,6,21,53
I8RO5VPQIV_XS,8,12,12,28,24,15,5,5,8,17,48
I8RO5VPQIV_XXL,14,9,9,17,22,13,17,4,3,13,41
J7DERD76U8_onesize,20,48,48,81,120,26,33,18,32,55,85
KBG0WAZV9P_onesize,16,19,40,42,35,26,32,11,20,38,80
KBX5F1FCPW_onesize,26,22,34,44,55,45,28,12,22,46,111
KU65DK7JCX_L,11,5,17,16,28,10,9,5,2,23,30
KU65DK7JCX_M,24,20,30,34,32,22,17,5,11,44,64
KU65DK7JCX_S,35,27,39,39,48,53,38,11,14,86,78
KU65DK7JCX_XL,11,7,12,11,12,8,6,2,4,20,21
KU65DK7JCX_XS,32,38,33,47,39,31,24,13,16,55,83
KU65DK7JCX_XXS,22,22,33,43,31,22,20,9,12,56,72
KX2DPVZSC6_L,37,49,43,85,55,44,23,11,30,59,104
KX2DPVZSC6_M,29,29,43,54,55,31,25,6,16,34,80
KX2DPVZSC6_S,11,19,23,29,26,18,16,5,10,26,50
KX2DPVZSC6_XL,19,16,32,39,52,25,21,8,17,55,109
KX2DPVZSC6_XS,10,7,10,11,13,9,10,2,4,11,39
KX2DPVZSC6_XXL,10,7,10,24,16,11,9,3,6,16,35
LBQKVWQEL3_L,10,7,14,19,17,9,7,9,3,10,46
LBQKVWQEL3_M,13,10,10,21,31,23,16,7,8,17,51
LBQKVWQEL3_S,30,24,46,77,83,46,44,16,27,81,148
LBQKVWQEL3_XL,9,15,13,27,15,8,4,6,4,8,44
LBQKVWQEL3_XS,28,30,44,81,89,45,42,14,17,87,160
LBQKVWQEL3_XXS,23,22,39,48,55,37,23,8,18,38,80
LK5NB8UR9Y_L,50,52,61,105,141,87,69,26,28,98,239
LK5NB8UR9Y_M,76,76,62,162,154,78,74,30,43,115,315
LK5NB8UR9Y_S,44,32,58,102,58,49,33,13,19,53,85
LK5NB8UR9Y_XL,27,17,27,42,77,25,22,11,6,36,67
LK5NB8UR9Y_XS,20,14,27,35,31,21,20,4,9,34,74
LK5NB8UR9Y_XXL,15,12,16,38,37,13,12,7,5,23,67
LLP7L9LQTC_L,21,25,25,50,44,43,28,4,11,42,100
LLP7L9LQTC_M,31,49,47,87,78,44,41,14,21,82,127
LLP7L9LQTC_S,12,23,23,33,37,25,20,5,15,38,68
LLP7L9LQTC_XL,7,14,13,26,27,17,13,4,6,23,44
LLP7L9LQTC_XS,6,10,6,17,19,15,9,2,7,15,40
LLP7L9LQTC_XXL,3,9,6,13,14,9,6,2,4,13,23
LVTGQBBF4L_L,64,73,89,115,130,81,79,37,36,117,203
LVTGQBBF4L_M,63,97,118,165,161,98,81,52,50,118,278
LVTGQBBF4L_S,46,34,34,51,77,47,34,14,17,68,88
LVTGQBBF4L_XL,23,41,35,49,44,28,27,10,11,53,82
LVTGQBBF4L_XS,14,13,25,25,30,22,26,9,5,33,62
LVTGQBBF4L_XXL,14,11,16,33,23,13,14,7,7,23,74
MI29EELZW7_L,0,2,3,5,5,3,1,1,1,5,5
MI29EELZW7_M,4,2,6,6,6,4,4,1,2,4,7
MI29EELZW7_S,6,10,7,22,13,18,11,4,8,17,18
MI29EELZW7_XL,3,0,2,3,5,2,2,0,1,1,2
MI29EELZW7_XS,11,10,9,23,17,23,17,4,8,28,24
MI29EELZW7_XXS,13,6,9,18,12,8,10,2,5,15,26
OK2HOMDWXP_L,6,4,10,13,12,8,7,3,3,9,20
OK2HOMDWXP_M,7,6,20,25,21,26,12,8,9,19,38
OK2HOMDWXP_S,26,16,51,56,46,64,38,20,28,48,68
OK2HOMDWXP_XL,4,4,11,5,6,8,4,4,4,5,10
OK2HOMDWXP_XS,27,25,55,50,65,61,44,15,23,88,115
OK2HOMDWXP_XXS,19,14,32,60,52,35,21,11,15,33,89
PQ8JXR05Z9_L,22,19,16,43,32,31,18,9,14,24,65
PQ8JXR05Z9_M,18,22,38,40,50,25,16,9,9,23,99
PQ8JXR05Z9_S,14,15,18,30,34,19,20,7,10,21,57
PQ8JXR05Z9_XL,10,8,7,15,14,13,13,5,7,10,35
PQ8JXR05Z9_XS,11,13,10,18,13,11,4,6,5,12,33
PQ8JXR05Z9_XXL,7,7,4,15,10,10,8,3,4,9,24
PUZ9FHPM0L_L,32,28,34,58,57,35,31,11,12,28,116
PUZ9FHPM0L_M,16,19,28,30,47,27,22,5,11,31,69
PUZ9FHPM0L_S,10,6,19,14,16,14,8,4,2,20,23
PUZ9FHPM0L_XL,11,16,15,34,31,20,12,3,5,27,55
PUZ9FHPM0L_XS,6,3,10,10,9,7,5,3,2,8,18
PUZ9FHPM0L_XXL,7,4,10,7,10,7,8,7,1,10,22
Q1NB6EV307_L,23,21,39,44,46,33,19,10,12,49,87
Q1NB6EV307_M,9,20,29,35,32,26,16,9,8,36,88
Q1NB6EV307_S,9,6,13,13,19,13,8,5,4,17,36
Q1NB6EV307_XL,11,11,20,23,24,19,11,6,9,30,50
Q1NB6EV307_XS,4,4,9,9,5,7,5,4,1,7,17
Q1NB6EV307_XXL,5,3,9,10,14,8,5,1,2,11,24
QSCW4SWQBC_L,64,77,78,122,141,87,73,28,38,139,209
QSCW4SWQBC_M,69,60,102,132,116,73,77,28,36,128,275
QSCW4SWQBC_S,32,35,83,63,62,46,31,7,21,86,110
QSCW4SWQBC_XL,15,27,46,50,55,51,22,9,16,50,72
QSCW4SWQBC_XS,18,24,26,26,32,45,18,4,5,33,35
QSCW4SWQBC_XXL,10,6,24,24,31,23,12,5,9,30,55
R1GQQ0CSBL_L,25,49,41,66,53,26,28,12,23,86,132
R1GQQ0CSBL_M,17,26,33,38,58,21,26,8,13,31,86
R1GQQ0CSBL_S,10,19,22,45,26,19,25,3,9,40,69
R1GQQ0CSBL_XL,21,21,20,25,36,12,23,6,8,31,53
R1GQQ0CSBL_XS,6,5,16,11,11,5,6,2,8,10,30
R1GQQ0CSBL_XXL,10,13,17,15,16,12,14,1,7,28,42
SUSBYBGRMB_L,25,23,34,70,24,31,21,8,13,61,101
SUSBYBGRMB_M,24,17,33,47,30,25,22,7,16,42,98
SUSBYBGRMB_S,10,9,16,27,18,18,8,3,8,22,52
SUSBYBGRMB_XL,17,22,25,42,23,32,21,11,18,32,109
SUSBYBGRMB_XS,7,5,5,11,8,10,5,2,2,7,26
SUSBYBGRMB_XXL,8,5,7,15,11,9,7,2,6,16,25
TU089AL40Z_L,1,2,4,5,8,4,5,0,4,8,14
TU089AL40Z_M,4,8,12,14,15,9,9,5,7,10,35
TU089AL40Z_S,6,9,11,15,21,9,12,4,5,12,40
TU089AL40Z_XL,1,2,1,4,2,4,3,2,0,4,9
TU089AL40Z_XS,4,5,9,19,15,9,10,6,6,11,30
TU089AL40Z_XXS,3,4,7,11,10,5,4,2,3,10,24
UKDVICMCMI_L,5,3,9,14,8,7,7,2,3,10,17
UKDVICMCMI_M,7,4,10,15,12,10,7,4,4,18,21
UKDVICMCMI_S,15,10,18,20,25,11,10,4,6,28,58
UKDVICMCMI_XL,2,1,4,5,6,2,1,1,1,3,7
UKDVICMCMI_XS,14,11,19,26,17,11,10,5,7,28,53
UKDVICMCMI_XXS,9,5,12,14,10,7,7,2,5,16,28
UXS9I3EAGC_L,5,3,7,5,11,8,6,2,3,11,13
UXS9I3EAGC_M,7,10,15,10,16,9,7,3,4,10,38
UXS9I3EAGC_S,16,27,47,35,40,23,31,8,12,50,77
UXS9I3EAGC_XL,3,5,5,6,9,7,4,3,2,4,17
UXS9I3EAGC_XS,25,32,48,57,41,41,27,11,16,48,117
UXS9I3EAGC_XXS,20,20,31,20,25,19,17,4,8,25,55
V11O1XZ2MQ_L,2,1,2,3,6,2,2,1,2,4,5
V11O1XZ2MQ_M,3,3,6,7,9,5,6,1,3,10,13
V11O1XZ2MQ_S,9,6,8,13,17,10,13,2,4,18,28
