sku_id,Amsterdam,Berlin,Brussels,Copenhagen,Helsinki,Madrid,Paris,Platform,Rome,Stockholm,Webshop
WP8ED8R8U4_L,5,10,16,26,19,11,15,7,4,29,59
WP8ED8R8U4_M,7,8,10,17,24,11,9,4,5,18,36
WP8ED8R8U4_S,4,6,8,7,11,7,7,3,1,9,17
WP8ED8R8U4_XL,6,8,10,14,14,10,6,3,6,28,40
WP8ED8R8U4_XS,2,2,2,2,4,2,2,0,2,3,6
WP8ED8R8U4_XXL,1,2,3,2,4,2,3,1,3,3,7
YPGT13FQ9B_L,8,12,12,15,22,14,7,4,2,18,39
YPGT13FQ9B_M,19,21,32,38,48,31,21,13,10,45,71
YPGT13FQ9B_S,38,27,37,76,88,47,39,21,20,95,97
YPGT13FQ9B_XL,9,7,15,17,22,8,11,6,4,10,22
YPGT13FQ9B_XS,43,34,38,67,91,60,50,21,18,91,142
YPGT13FQ9B_XXS,19,28,42,66,77,36,26,12,19,56,97
ZKLSKKBEKZ_L,8,11,16,22,36,23,11,6,7,29,63
ZKLSKKBEKZ_M,17,15,29,41,50,36,26,8,14,43,72
ZKLSKKBEKZ_S,31,55,31,59,100,53,64,16,15,90,179
ZKLSKKBEKZ_XL,10,12,16,20,41,21,12,6,8,39,51
ZKLSKKBEKZ_XS,33,61,92,112,108,77,68,20,33,162,252
ZKLSKKBEKZ_XXS,25,37,41,75,74,52,31,14,14,77,116
ZOFDKNLVEN_L,35,28,38,72,81,48,30,15,16,54,165
ZOFDKNLVEN_M,37,25,72,99,83,54,34,18,31,65,150
ZOFDKNLVEN_S,17,14,29,44,65,34,32,8,25,35,114
ZOFDKNLVEN_XL,14,19,13,41,46,17,17,5,10,29,105
ZOFDKNLVEN_XS,15,17,22,39,38,26,21,7,12,26,100
ZOFDKNLVEN_XXL,5,8,9,14,16,13,10,4,4,17,25
