sku_id,Amsterdam,Berlin,Brussels,Copenhagen,Helsinki,Madrid,Paris,Platform,Rome,Stockholm,Webshop
Q1NB6EV307_M,14,11,19,28,31,18,19,6,10,16,71
Q1NB6EV307_S,10,10,10,17,22,15,13,3,4,14,45
Q1NB6EV307_XL,9,11,16,23,31,17,15,4,7,17,48
Q1NB6EV307_XS,10,10,10,17,22,14,12,4,4,17,43
Q1NB6EV307_XXL,7,3,7,24,14,14,4,11,3,12,20
QSCW4SWQBC_L,61,75,57,105,113,70,61,31,24,112,209
QSCW4SWQBC_M,54,51,94,102,103,88,63,28,29,114,220
QSCW4SWQBC_S,40,32,68,63,71,37,32,12,20,77,143
QSCW4SWQBC_XL,22,22,32,49,45,40,20,9,9,54,70
QSCW4SWQBC_XS,15,23,15,21,31,36,18,4,6,28,39
QSCW4SWQBC_XXL,8,9,26,16,26,20,16,5,7,35,60
R1GQQ0CSBL_L,20,44,33,57,58,22,21,5,14,69,107
R1GQQ0CSBL_M,19,32,29,40,47,17,21,6,11,25,87
R1GQQ0CSBL_S,17,16,20,31,27,20,11,7,12,29,56
R1GQQ0CSBL_XL,19,13,18,32,30,12,18,8,9,29,65
R1GQQ0CSBL_XS,4,7,10,11,12,6,7,3,2,12,24
R1GQQ0CSBL_XXL,9,9,14,14,17,9,9,4,7,15,31
SUSBYBGRMB_L,27,23,32,56,28,24,20,10,19,50,94
SUSBYBGRMB_M,20,14,27,35,35,25,25,6,22,38,60
SUSBYBGRMB_S,5,9,13,31,21,15,6,3,8,18,21
SUSBYBGRMB_XL,17,22,26,46,33,26,20,10,17,35,88
SUSBYBGRMB_XS,6,5,8,10,6,6,5,4,2,8,22
SUSBYBGRMB_XXL,8,6,12,12,8,10,6,4,2,14,20
TU089AL40Z_L,2,2,5,6,6,3,7,2,4,8,12
TU089AL40Z_M,7,7,10,18,12,8,10,5,7,11,26
TU089AL40Z_S,6,8,14,13,13,6,10,4,6,11,32
TU089AL40Z_XL,1,1,2,5,2,2,2,1,3,8,9
TU089AL40Z_XS,6,5,7,14,8,8,9,3,5,8,24
TU089AL40Z_XXS,5,6,6,9,8,5,4,2,4,12,19
UKDVICMCMI_L,4,5,8,9,6,5,5,3,5,5,16
UKDVICMCMI_M,8,5,8,20,8,9,8,5,3,11,23
UKDVICMCMI_S,9,6,16,16,20,9,9,5,4,17,47
UKDVICMCMI_XL,1,1,8,3,5,3,4,1,2,4,11
UKDVICMCMI_XS,11,11,18,22,13,10,10,4,10,25,43
UKDVICMCMI_XXS,7,7,8,13,8,6,5,4,4,10,23
UXS9I3EAGC_L,6,3,9,7,9,8,9,3,3,7,11
UXS9I3EAGC_M,7,9,15,23,13,10,7,7,5,13,33
UXS9I3EAGC_S,24,26,38,33,37,32,25,10,17,40,70
UXS9I3EAGC_XL,3,4,6,5,8,5,4,1,2,7,16
UXS9I3EAGC_XS,22,31,53,46,40,32,23,9,15,56,94
UXS9I3EAGC_XXS,17,13,23,23,21,16,15,7,7,30,47
V11O1XZ2MQ_L,3,1,2,3,5,2,3,1,2,4,4
V11O1XZ2MQ_M,6,5,6,4,8,4,4,1,4,7,12
V11O1XZ2MQ_S,8,4,8,11,13,10,10,2,4,15,21
V11O1XZ2MQ_XL,4,1,2,7,5,2,4,1,4,7,8
V11O1XZ2MQ_XS,6,8,7,15,12,7,12,4,2,15,22
V11O1XZ2MQ_XXS,8,4,4,9,12,8,8,2,5,8,17
WNRA980XXZ_L,6,8,7,17,11,4,11,6,3,16,18
WNRA980XXZ_M,9,11,12,22,18,10,11,5,5,22,33
WNRA980XXZ_S,6,6,9,11,15,5,6,4,3,14,22
WNRA980XXZ_XL,8,5,8,6,21,5,4,2,3,18,17
WNRA980XXZ_XS,4,3,3,9,6,3,5,2,3,11,7
WNRA980XXZ_XXL,2,3,4,3,5,3,2,2,2,3,4
WP8ED8R8U4_L,6,7,16,17,15,10,7,4,5,14,36
WP8ED8R8U4_M,5,7,13,15,20,9,5,3,7,16,33
WP8ED8R8U4_S,5,2,4,4,12,5,3,1,1,8,13
WP8ED8R8U4_XL,6,7,8,9,10,8,13,3,5,29,19
WP8ED8R8U4_XS,2,2,2,2,4,6,4,2,2,6,6
