pack_id,Amsterdam,Berlin,Brussels,Copenhagen,Helsinki,Madrid,Paris,Platform,Rome,Stockholm,Webshop
P230,0,0,0,0,2,1,1,0,0,0,0
P231,0,0,1,1,0,0,0,0,0,0,1
P232,0,0,0,0,0,0,1,0,0,0,0
P233,0,0,0,0,1,1,1,0,0,0,2
P234,3,3,2,7,5,4,3,1,2,5,12
P235,0,0,1,0,0,0,0,0,0,0,0
P236,0,1,2,2,3,0,2,1,0,1,5
P237,0,0,1,0,0,3,0,0,1,2,1
P238,0,1,3,1,0,2,0,0,0,2,1
P239,0,2,1,1,2,0,0,1,0,0,2
P240,1,1,0,1,1,1,1,0,0,0,3
P241,0,1,1,0,0,1,1,1,0,1,1
P242,0,0,0,1,1,0,0,0,0,0,2
P243,1,2,1,3,6,6,1,1,0,2,15
P244,0,0,0,0,0,0,0,2,0,1,0
P245,0,0,0,1,0,0,0,0,0,1,0
P246,0,0,1,0,0,0,0,0,0,0,0
P247,0,0,0,2,4,0,0,0,1,1,0
P248,0,2,1,2,2,0,0,0,0,0,4
P249,0,0,2,0,0,0,1,0,1,0,0
P250,2,0,1,1,0,2,2,0,0,0,0
P251,1,0,0,0,0,0,1,0,0,0,0
P252,2,3,5,10,5,8,4,2,2,6,18
P253,0,0,0,1,0,2,0,0,1,0,3
P254,0,2,0,1,0,0,0,0,0,1,0
P255,1,1,1,0,0,0,0,1,0,0,3
P256,1,2,1,1,1,2,0,0,1,1,2
P257,0,0,0,1,1,0,1,0,0,1,0
P258,0,0,0,2,0,0,0,1,0,0,0
P259,0,2,2,1,3,0,0,0,1,3,4
P260,0,0,0,2,0,0,0,1,0,0,4
P261,0,0,1,1,1,0,0,0,0,0,0
P262,0,0,1,0,1,0,0,0,0,0,1
P263,0,0,0,1,0,1,1,0,0,0,0
P264,0,0,0,0,1,0,0,0,0,1,0
P265,0,0,1,1,1,1,1,0,1,0,0
P266,1,0,2,2,0,0,0,0,0,0,0
P267,0,0,0,0,1,0,0,1,0,0,0
P268,0,0,0,0,0,0,0,1,0,3,0
P269,0,0,0,0,0,0,0,1,0,0,1
P270,1,2,1,0,1,0,0,0,1,0,4
P271,1,0,0,1,1,0,0,0,0,0,2
P272,1,0,0,0,0,0,0,1,1,0,1
P273,0,0,0,0,0,0,0,1,0,0,0
P274,1,0,0,0,2,0,1,0,0,0,2
P275,0,1,1,1,1,0,0,1,1,1,0
P276,0,0,0,0,0,0,0,0,0,1,0
P277,0,1,0,1,1,1,1,1,0,1,0
P278,1,1,1,2,1,1,1,1,0,0,3
P279,0,0,0,1,1,0,0,0,0,1,0
P280,1,0,0,1,0,1,1,1,0,1,3
P281,0,1,1,0,0,0,0,0,0,0,0
P282,0,0,0,1,0,0,1,0,0,0,0
P283,0,1,0,0,0,1,0,0,0,2,0
P284,0,0,0,0,0,0,0,0,0,1,3
P285,0,0,0,0,1,0,1,0,1,0,0
